name,latitude,longitude
H1a,151.968483,-23.453417
H1b,151.960933,-23.45555
H2a,151.982633,-23.4378
H2b,151.984317,-23.4334
H3a,151.973,-23.437267
H3b,151.986617,-23.4318
H4a,151.950517,-23.47035
H4b,151.97828,-23.47172
H5a,151.99555,-23.4526
H5b,151.99738,-23.43217
M1a,146.225883,-16.859783
M1b,146.202033,-16.87465
M2a,146.1841,-16.882783
M2b,146.200383,-16.888817
M3a,146.217833,-16.8469
M3b,146.199017,-16.879967
M4a,146.232933,-16.887383
M4b,146.253433,-16.865
M5a,146.2369,-16.848283
M5b,146.25365,-16.871633
D1a,147.62682,-18.84177
D1b,147.63303,-18.83289
D2a,147.65121,-18.80297
D2b,147.63698,-18.81473
D3a,147.62711,-18.82616
D3b,147.66818,-18.80536
D4a,147.65291,-18.8313
D4b,147.66406,-18.81913
D5a,147.67065,-18.81025
D5b,147.64688,-18.84032
